"Step","Proposed_Uniform - rollout/success_rate","Proposed_Uniform - rollout/success_rate__MIN","Proposed_Uniform - rollout/success_rate__MAX","Prior_Uniform - rollout/success_rate","Prior_Uniform - rollout/success_rate__MIN","Prior_Uniform - rollout/success_rate__MAX","Prior_Strong - rollout/success_rate","Prior_Strong - rollout/success_rate__MIN","Prior_Strong - rollout/success_rate__MAX","Proposed_hard - rollout/success_rate","Proposed_hard - rollout/success_rate__MIN","Proposed_hard - rollout/success_rate__MAX","Proposed_medium2 - rollout/success_rate","Proposed_medium2 - rollout/success_rate__MIN","Proposed_medium2 - rollout/success_rate__MAX","Prior_medium2 - rollout/success_rate","Prior_medium2 - rollout/success_rate__MIN","Prior_medium2 - rollout/success_rate__MAX"
"1158","","","","","","","0.26","0.26","0.26","","","","","","","","",""
"1165","0.36","0.36","0.36","","","","","","","","","","","","","","",""
"1167","","","","","","","","","","0.2","0.2","0.2","","","","","",""
"1168","","","","0.28","0.28","0.28","","","","","","","","","","","",""
"1170","","","","","","","","","","","","","","","","0.33","0.33","0.33"
"1171","","","","","","","","","","","","","0.26","0.26","0.26","","",""
"1172","","","","","","","0.27","0.27","0.27","","","","","","","","",""
"1179","0.35","0.35","0.35","","","","","","","","","","","","","","",""
"1182","","","","0.28","0.28","0.28","","","","","","","","","","","",""
"1184","","","","","","","","","","","","","","","","0.34","0.34","0.34"
"1185","","","","","","","","","","","","","0.26","0.26","0.26","","",""
"1186","","","","","","","0.27","0.27","0.27","","","","","","","","",""
"1194","","","","","","","","","","0.2","0.2","0.2","","","","","",""
"1196","","","","0.28","0.28","0.28","","","","","","","","","","","",""
"1199","","","","","","","","","","","","","0.26","0.26","0.26","","",""
"1200","","","","","","","0.28","0.28","0.28","","","","","","","","",""
"1208","","","","","","","","","","0.19","0.19","0.19","","","","","",""
